2,8,2,8,4,4,0,0,6,8,4,0,2,8,2,8,4,4,4,2
2,10,14,12,1,7,10,10,9,6,9,6,10,10,12,4,5,1,7,10
2,8,5,3,10,9,2,14,10,9,6,11,10,12,3,9,3,14,9,2
2,12,7,8,6,10,14,9,6,10,13,4,6,9,6,10,12,5,6,10
4,5,3,10,11,10,9,4,7,12,5,5,3,12,3,12,5,5,3,10
1,3,10,12,6,12,6,9,5,5,5,3,8,7,12,3,11,9,6,10
2,14,12,3,9,3,9,6,9,3,9,6,10,9,5,6,10,10,13,2
0,5,3,12,6,10,10,13,2,10,10,11,8,6,13,5,2,12,3,14
4,3,12,5,5,6,12,3,10,14,10,10,12,3,9,3,12,3,12,3
3,12,5,5,5,5,5,6,8,5,6,12,1,6,10,12,5,2,9,6
0,3,9,1,5,5,5,7,10,9,1,3,12,3,8,3,9,6,12,3
2,12,6,12,5,3,9,5,6,14,10,12,3,10,14,10,10,11,9,2
2,9,5,5,7,12,6,9,1,5,6,9,6,12,5,6,12,6,10,10
2,8,5,5,5,1,5,6,10,9,7,12,5,3,9,5,5,3,10,10
2,10,9,5,3,14,9,3,10,8,5,5,5,6,10,13,3,12,6,10
2,14,10,11,12,3,10,12,6,10,9,5,3,9,6,9,2,11,9,6
2,9,6,12,5,4,6,13,5,4,6,11,10,10,9,6,10,10,12,3
2,12,5,5,5,5,5,5,5,3,9,6,12,6,10,13,4,4,3,10
4,3,9,5,3,9,5,5,5,6,8,5,5,1,6,9,5,3,14,10
5,4,6,13,4,6,13,5,5,5,4,5,7,12,5,4,7,12,5,2
